map,tier,year,completions,hours played,completions per hours played,,notes
surf_zeitgeist,3,2021,829,2127,0.39,,
surf_tempest2,3,2017,912,2341,0.39,,
surf_jizznipples,3,2012,906,2320,0.39,,
surf_forbidden_tomb4,4,2012,1089,2792,0.39,,
surf_tempest,3,2016,975,2504,0.389,,
surf_perforated_restored,3,2012,878,2258,0.389,,
surf_kalium,4,2012,804,2106,0.382,,
surf_ultimate_fix,4,2012,916,2398,0.382,,
surf_excess,4,2025,221,582,0.38,,
surf_undergrowth,3,2022,696,1842,0.378,,
surf_monotony_ksf,4,2021,690,1835,0.376,,
surf_tundra_v2,4,2015,1141,3036,0.376,,
surf_polygon,4,2014,1001,2663,0.376,,
surf_christmas3,3,2023,461,1228,0.375,,
surf_vitamin_e,4,2025,167,448,0.373,,
surf_concretejungle_fix,4,2020,945,2534,0.373,,
surf_highlands,5,2017,2442,6582,0.371,,
surf_misc,5,2012,1232,3318,0.371,,
surf_loweffort,4,2020,770,2080,0.37,,
surf_outra,4,2023,677,1834,0.369,,
surf_executioner,3,2023,656,1782,0.368,,
surf_hob,3,2018,791,2151,0.368,,
surf_x,4,2012,882,2395,0.368,,
surf_torrential,5,2024,299,814,0.367,,
surf_strafe,3,2016,765,2092,0.366,,
surf_ofrenda,3,2023,603,1667,0.362,,
surf_exurbia2,3,2016,798,2215,0.36,,
surf_nemesis,4,2012,894,2491,0.359,,
surf_cozy,4,2021,657,1839,0.357,,
surf_metallic,5,2013,1033,2901,0.356,,
surf_queen_of_the_ween,3,2019,874,2470,0.354,,
surf_jaqen2,3,2017,872,2466,0.354,,
surf_fiellu_ksf,3,2021,1867,5343,0.349,,
surf_calibration,4,2013,966,2779,0.348,,
surf_placid,3,2012,865,2487,0.348,,
surf_ecosystem,3,2014,791,2290,0.345,,
surf_runewords2,4,2018,1020,2991,0.341,,
surf_entropy_hardmode,5,2012,734,2155,0.341,,
surf_exclave_fix,4,2013,821,2424,0.339,,
surf_infamous_ksf,5,2014,808,2395,0.337,,
surf_quartus_ksf,4,2012,756,2242,0.337,,
surf_haze,6,2025,116,345,0.336,,
surf_sippysip,4,2015,885,2632,0.336,,
surf_network_2013,3,2012,673,2010,0.335,,
surf_eternal_beta,4,2012,968,2899,0.334,,
surf_neoteric_retexture,4,2017,991,2979,0.333,,
surf_spaceship_ksf,3,2012,813,2441,0.333,,
surf_core_refix,5,2012,927,2792,0.332,,
surf_eunoia,3,2017,991,3002,0.33,,
surf_elysium2,5,2015,1233,3759,0.328,,
surf_happyhands4,3,2014,752,2291,0.328,,
surf_scarlet_ksf,3,2021,548,1674,0.327,,
surf_blub,4,2012,810,2482,0.326,,
surf_ofsfice,3,2022,460,1414,0.325,,
surf_golden_refix,3,2020,702,2174,0.323,,
surf_beyer,4,2013,883,2755,0.321,,
surf_sexyartz_njv,4,2012,793,2473,0.321,,
surf_freaky,5,2012,782,2433,0.321,,
surf_plethora_fix,3,2012,709,2207,0.321,,
surf_ny_momentum2_ksf,3,2013,765,2393,0.32,,
surf_instantdeath,2,2022,549,1748,0.314,,
surf_acerbus,5,2015,914,2909,0.314,,
surf_metalwall,4,2012,635,2035,0.312,,
surf_antimatter_v2,4,2015,884,2849,0.31,,
surf_exocube_h,5,2012,886,2859,0.31,,
surf_quarantine,4,2020,617,2002,0.308,,
surf_illumination2,4,2017,786,2588,0.304,,
surf_jaqen,4,2016,745,2461,0.303,,
surf_second,3,2016,724,2389,0.303,,
surf_epithet,4,2018,683,2262,0.302,,
surf_inrage2,4,2012,616,2042,0.302,,
surf_disneyland,5,2015,838,2787,0.301,,
surf_mushroom_ksf,3,2014,704,2335,0.301,,
surf_infected,4,2012,663,2203,0.301,,
surf_euphoria,4,2012,839,2787,0.301,,
surf_monkeys2,5,2024,427,1433,0.298,,
surf_proliferation,4,2017,804,2707,0.297,,
surf_enigma,5,2024,249,842,0.296,,
surf_sluice2,4,2021,741,2510,0.295,,
surf_neoplasma_ksf,4,2013,750,2539,0.295,,
surf_nikolo,4,2012,691,2342,0.295,,
surf_zbig2,3,2018,614,2091,0.294,,
surf_metalpipes,4,2025,182,622,0.293,,
surf_rise,3,2024,338,1161,0.291,,
surf_technique,5,2017,917,3151,0.291,,
surf_elysium3,5,2016,1049,3600,0.291,,
surf_sirius,3,2022,543,1892,0.287,,
surf_ambient_njv,4,2012,737,2567,0.287,,
surf_sunset2_fix,4,2012,686,2390,0.287,,
surf_trapped,5,2016,863,3037,0.284,,
surf_apollonian,4,2012,873,3070,0.284,,
surf_rez2,4,2018,657,2326,0.282,,
surf_arghmyeyes_retexture,3,2012,661,2343,0.282,,
surf_skill8,4,2012,704,2495,0.282,,
surf_christmas2,3,2016,816,2901,0.281,,
surf_lolrevlis,5,2012,682,2429,0.281,,
surf_overgrowth2,4,2014,1195,4267,0.28,,
surf_efficacy,4,2012,639,2282,0.28,,
surf_radiant,4,2024,666,2392,0.278,,
surf_rustic_v2,4,2013,629,2312,0.272,,
surf_tormentor,6,2025,187,689,0.271,,
surf_spacemonkeys,5,2025,208,769,0.271,,
surf_reactor,3,2017,566,2095,0.27,,
surf_intense_ksf,4,2015,594,2202,0.27,,
surf_grid_ksf,5,2022,421,1565,0.269,,
surf_sequoia_fix,3,2020,514,1920,0.268,,
surf_tycho_fix,5,2021,585,2192,0.267,,
surf_cannonball,4,2020,1539,5753,0.267,,
surf_sanguine,3,2020,722,2706,0.267,,
surf_ben10,3,2024,321,1212,0.265,,
surf_tronia_refix,3,2013,728,2750,0.265,,
surf_selenka,5,2019,545,2064,0.264,,
surf_salmari,4,2024,268,1020,0.263,,
surf_izded,5,2017,750,2875,0.261,,
surf_tempest4,4,2024,269,1051,0.256,,
surf_jitterbug,6,2025,90,352,0.255,,
surf_psychedelia,3,2020,514,2019,0.255,,
surf_like_this,3,2020,566,2217,0.255,,
surf_crank,3,2025,136,535,0.254,,
surf_masonry,4,2012,589,2320,0.254,,
surf_santorini2,4,2023,350,1386,0.253,,
surf_sylvan,3,2020,570,2249,0.253,,
surf_bonk,4,2022,421,1686,0.25,,
surf_android_ksf,5,2017,638,2554,0.25,,
surf_nocturn,4,2022,400,1620,0.247,,
surf_stonework3,5,2014,873,3566,0.245,,
surf_sinister_evil,6,2013,1435,5858,0.245,,
surf_era,3,2024,212,869,0.244,,
surf_syria_again,6,2012,1126,4628,0.243,,
surf_jive,4,2023,291,1202,0.242,,
surf_serenity2,4,2021,472,1948,0.242,,
surf_nyze,5,2015,748,3086,0.242,,
surf_ghost_busters,4,2012,707,2924,0.242,,
surf_inferno,4,2020,582,2413,0.241,,
surf_illumination,4,2014,630,2617,0.241,,
surf_rands,4,2013,845,3518,0.24,,
surf_treefort,5,2012,788,3277,0.24,,
surf_25_lighters,4,2015,634,2650,0.239,,
surf_inner,3,2020,429,1812,0.237,,
surf_helloworld,5,2020,653,2752,0.237,,
surf_z,5,2015,661,2795,0.237,,
surf_deteriorate,3,2022,327,1397,0.234,,
surf_chateau_fix,4,2018,572,2448,0.234,,
surf_alend,4,2018,458,1956,0.234,,
surf_timewarp,5,2012,659,2823,0.233,,
surf_diamond_beta1,5,2012,615,2660,0.231,,
surf_shoria,5,2018,633,2747,0.23,,
surf_brodderlands,4,2021,413,1802,0.229,,
surf_kalium2,4,2012,486,2130,0.228,,
surf_fire_eye,4,2020,415,1839,0.226,,
surf_jagerbomb,4,2023,338,1509,0.224,,
surf_flatliners,3,2017,448,1998,0.224,,
surf_mephobia_final,4,2015,536,2396,0.224,,
surf_exile,6,2012,759,3392,0.224,,
surf_adventure_final,4,2016,553,2486,0.222,,
surf_primero_fix,5,2012,666,3030,0.22,,
surf_trihard,4,2017,566,2583,0.219,,
surf_stonework4,6,2017,1145,5241,0.218,,
surf_the_distance,5,2012,693,3175,0.218,,
surf_prismatic_ksf,3,2022,289,1338,0.216,,
surf_extremex2_5,5,2012,599,2779,0.216,,
surf_kira,5,2024,134,622,0.215,,
surf_fortress_ksf,4,2021,388,1814,0.214,,
surf_anything,4,2020,465,2173,0.214,,
surf_not_so_quick,4,2018,596,2782,0.214,,
surf_pancake,4,2016,478,2238,0.214,,
surf_tequila,4,2022,398,1871,0.213,,
surf_y,4,2013,659,3099,0.213,,
surf_oddworld,4,2022,382,1810,0.211,,
surf_innokia,6,2019,606,2892,0.21,,
surf_insects,5,2025,82,392,0.209,,
surf_dova,5,2018,429,2065,0.208,,
surf_board_this_fix,4,2024,181,872,0.207,,
surf_garden_h,6,2019,561,2727,0.206,,
surf_lax,4,2019,553,2692,0.205,,
surf_salient,5,2015,656,3208,0.205,,
surf_nostromo,5,2015,589,2870,0.205,,
surf_happyhands5,3,2020,404,1984,0.204,,
surf_smol,5,2023,237,1166,0.203,,
surf_desolate,4,2015,585,2886,0.203,,
surf_tensor,4,2022,341,1723,0.198,,
surf_goldarn,4,2014,417,2118,0.197,,
surf_elysium4,5,2019,666,3399,0.196,,
surf_loentra,5,2012,611,3116,0.196,,
surf_volcanic,4,2018,449,2298,0.195,,
surf_pogchamp,3,2018,396,2057,0.193,,
surf_yellow,3,2021,334,1738,0.192,,
surf_axil,4,2020,360,1875,0.192,,
surf_seraph,5,2015,460,2394,0.192,,
surf_infected_h,5,2012,379,1977,0.192,,
surf_forsaken,5,2022,303,1586,0.191,,
surf_hyper2,4,2020,353,1862,0.19,,
surf_panta_rhei,5,2025,106,563,0.188,,
surf_nesquik,5,2019,755,4026,0.188,,
surf_bluewinter,3,2015,487,2591,0.188,,
surf_cordelia,4,2015,452,2401,0.188,,
surf_minecraft_fix,5,2012,520,2772,0.188,,
surf_again_njv,5,2012,405,2179,0.186,,
surf_dynamics_fixed,5,2012,443,2397,0.185,,
surf_unreal_njv,4,2012,477,2582,0.185,,
surf_selenka2,5,2024,201,1096,0.183,,
surf_hades,6,2016,1092,6010,0.182,,
surf_tronic_njv,5,2012,809,4435,0.182,,
surf_earthmover,6,2024,214,1181,0.181,,
surf_mudkip,4,2017,449,2480,0.181,,
surf_sidelines,6,2024,231,1289,0.179,,
surf_warped,4,2019,420,2357,0.178,,
surf_secluded,4,2020,337,1916,0.176,,
surf_solace,6,2020,932,5336,0.175,,
surf_techsune_css,4,2022,207,1199,0.173,,
surf_marbleblast_intermediate,3,2019,312,1807,0.173,,
surf_aux,4,2013,382,2250,0.17,,
surf_whoknows3,4,2018,412,2443,0.169,,
surf_crush,5,2017,373,2205,0.169,,
surf_antimatter2,5,2021,293,1746,0.168,,
surf_silent,7,2025,42,252,0.167,,
surf_thesteve,6,2021,544,3255,0.167,,
surf_sinister2,6,2016,647,3932,0.165,,
surf_breach,5,2024,146,889,0.164,,
surf_nightmare,5,2012,640,3895,0.164,,
surf_unreal2,5,2012,430,2622,0.164,,
surf_chromatic,6,2025,273,1673,0.163,,
surf_infrared,4,2022,255,1573,0.162,,
surf_ab,5,2025,138,865,0.16,,
surf_sacrifice,4,2020,367,2296,0.16,,
surf_dread,6,2025,86,541,0.159,,
surf_hero,5,2018,439,2766,0.159,,
surf_triggered_fix,4,2018,323,2045,0.158,,
surf_salient2,5,2017,412,2614,0.158,,
surf_treespam,6,2014,518,3272,0.158,,
surf_666,6,2016,1789,11414,0.157,,
surf_runewords2_lod,4,2020,366,2343,0.156,,
surf_oompa2,4,2017,316,2026,0.156,,
surf_lab,4,2016,351,2245,0.156,,
surf_ori_l,3,2016,367,2348,0.156,,
surf_chungus_fungus,6,2023,269,1736,0.155,,
surf_cavity,4,2024,137,897,0.153,,
surf_transient,5,2016,398,2625,0.152,,
surf_huh,3,2019,337,2238,0.151,,
surf_constrictor_remix,4,2021,213,1418,0.15,,
surf_castlewalls,5,2023,177,1198,0.148,,
surf_delta,4,2017,334,2253,0.148,,
surf_greenhouse,4,2018,289,2028,0.143,,
surf_gloomy,6,2021,318,2270,0.14,,
surf_map_njv,5,2012,401,2871,0.14,,
surf_dune,7,2025,91,654,0.139,,
surf_theunexpected,3,2021,232,1695,0.137,,
surf_royal_fix,6,2012,550,4059,0.135,,
surf_eryr2_fix,5,2018,382,2857,0.134,,
surf_marah,6,2015,398,2966,0.134,,
surf_kartune,6,2025,97,729,0.133,,
surf_antagonist,7,2024,208,1569,0.133,,
surf_paradigm,4,2021,249,1892,0.132,,
surf_crucible,5,2024,129,987,0.131,,
surf_fungus,4,2020,281,2168,0.13,,
surf_conserve,5,2018,250,1926,0.13,,
surf_strike,5,2019,251,1951,0.129,,
surf_brutalist,5,2016,342,2652,0.129,,
surf_endeavor,4,2023,163,1296,0.126,,
surf_bugs,6,2022,413,3285,0.126,,
surf_angst,4,2022,253,2011,0.126,,
surf_celestial,5,2020,266,2153,0.124,,
surf_hollow,5,2018,309,2502,0.124,,
surf_santorini3,6,2024,135,1110,0.122,,
surf_clavius,5,2018,307,2517,0.122,,
surf_synada,4,2018,259,2143,0.121,,
surf_chasm,4,2018,256,2136,0.12,,
surf_germania,5,2018,317,2632,0.12,,
surf_skill8_h,5,2012,281,2347,0.12,,
surf_banana_fix,4,2022,192,1607,0.119,,
surf_zeonine,4,2019,254,2130,0.119,,
surf_dionysus,5,2012,267,2247,0.119,,
surf_shady_h,4,2022,140,1182,0.118,,
surf_drifting,4,2018,289,2450,0.118,,
surf_consistenza_diversa,4,2021,195,1673,0.117,,
surf_monkeys,6,2024,172,1488,0.116,,
surf_whynot,6,2020,311,2680,0.116,,
surf_axiom,4,2018,792,6899,0.115,,
surf_damnation,5,2023,231,2040,0.113,,
surf_remeanian,5,2022,220,1939,0.113,,
surf_facility,4,2017,701,6177,0.113,,
surf_medley_fix,4,2023,239,2142,0.112,,
surf_assail,5,2022,330,2958,0.112,,
surf_jusched_beta1,6,2012,366,3266,0.112,,
surf_technical,5,2025,74,669,0.111,,
surf_eon_fix,5,2016,344,3103,0.111,,
surf_aphelion,5,2022,207,1920,0.108,,
surf_angelina,6,2025,77,719,0.107,,
surf_polonia,5,2020,241,2277,0.106,,
surf_zen,6,2017,424,3982,0.106,,
surf_limbo,4,2021,189,1797,0.105,,
surf_feudal,6,2020,219,2107,0.104,,
surf_lowestbidder,5,2021,148,1464,0.101,,
surf_happyhug,4,2019,278,2751,0.101,,
surf_looksmodern,6,2013,293,2910,0.101,,
surf_revolution_fix,5,2020,292,2944,0.099,,
surf_hektik,4,2021,184,1877,0.098,,
surf_kultur,6,2022,208,2140,0.097,,
surf_zen2,7,2018,430,4452,0.097,,
surf_north,6,2022,138,1442,0.096,,
surf_damn,5,2017,228,2385,0.096,,
surf_our,5,2018,447,4718,0.095,,
surf_adrift_fix,4,2023,122,1304,0.094,,
surf_atonement,6,2024,124,1333,0.093,,
surf_prosurf,7,2023,268,2870,0.093,,
surf_intra,5,2020,197,2130,0.092,,
surf_jumble,6,2019,231,2500,0.092,,
surf_kairo,5,2018,340,3693,0.092,,
surf_perihelion,6,2023,148,1630,0.091,,
surf_crush2,6,2021,180,1972,0.091,,
surf_cinnamon_fix,5,2018,199,2190,0.091,,
surf_autonomy,6,2021,185,2075,0.089,,
surf_pyzire_retexture,4,2020,322,3632,0.089,,
surf_map_h,6,2012,242,2760,0.088,,
surf_vienna,4,2021,157,1831,0.086,,
surf_salvation,5,2020,160,1872,0.085,,
surf_antagonist2,8,2025,47,563,0.083,,
surf_gary_barlow,5,2022,112,1374,0.082,,
surf_edge,6,2016,226,2806,0.081,,
surf_hades2,7,2019,742,9442,0.079,,
surf_lt_omnific,6,2012,739,9530,0.078,,
surf_epiphany,6,2019,295,3841,0.077,,
surf_mdrn,5,2017,385,5177,0.074,,
surf_techslop,7,2025,52,717,0.073,,
surf_rewind,5,2023,107,1462,0.073,,
surf_shambles,4,2020,141,1924,0.073,,
surf_spectra,7,2019,285,4207,0.068,,
surf_embrace,6,2021,144,2139,0.067,,
surf_vacant,7,2024,125,1964,0.064,,
surf_froots2,5,2019,168,2612,0.064,,
surf_hardline,7,2023,111,1769,0.063,,
surf_valpect,6,2015,231,3763,0.061,,
surf_expel,6,2025,39,652,0.06,,
surf_whynot2,7,2022,117,2070,0.057,,
surf_sinsane_ksf,6,2013,399,7147,0.056,,
surf_amaro,6,2017,149,3025,0.049,,
surf_ruse,7,2024,123,2586,0.048,,
surf_offskill,7,2022,70,1458,0.048,,
surf_weirdcore,6,2025,25,527,0.047,,
surf_diet_mountain_dew,6,2024,49,1077,0.046,,
surf_shibboleth,7,2023,102,2289,0.045,,
surf_replicant,6,2020,106,2345,0.045,,
surf_doomsday,8,2025,47,1106,0.043,,
surf_crimson,6,2020,95,2225,0.043,,
surf_drift,5,2019,111,2722,0.041,,
surf_polytron,5,2022,68,1701,0.04,,
surf_twist,7,2024,43,1133,0.038,,
surf_disaster,6,2020,87,2347,0.037,,
surf_stitched,6,2020,85,2343,0.036,,
surf_shodan,7,2019,157,4407,0.036,,
surf_vast,7,2017,168,4625,0.036,,
surf_devil,7,2019,195,5502,0.035,,
surf_starvald,7,2025,61,1803,0.034,,
surf_shade,7,2021,73,2309,0.032,,
surf_goliath,7,2017,266,8405,0.032,,
surf_original,7,2020,66,2200,0.03,,
surf_nsz_fix,7,2018,147,4873,0.03,,
surf_olivia,7,2025,41,1412,0.029,,
surf_topology,7,2024,33,1148,0.029,,
surf_tensor2,8,2023,107,3685,0.029,,
surf_not_so_prosurf,7,2023,42,1554,0.027,,
surf_exonic,7,2021,91,3430,0.027,,
surf_helljumper,7,2024,37,1436,0.026,,
surf_sidistic,7,2024,28,1081,0.026,,
surf_pls,7,2019,112,4388,0.026,,
surf_raphaello,7,2019,103,4047,0.025,,
surf_gigapede,7,2023,76,4138,0.018,,
surf_deity_ksf,8,2021,45,2737,0.016,,
surf_joutsenlaulu,8,2025,10,851,0.012,,
surf_corruption,8,2020,70,6022,0.012,,
surf_sinsane2,8,2019,52,4682,0.011,,
surf_anubis_ksf,8,2021,22,3637,0.006,,
